,,,chemicalFormula,Band gap values Clean,,,,,Reliability,,,,,,properties,references,Crystallinity value,,Band gap units,Band gap conditions,Band gap method,Morphology value,Temperature derivative of band gap value,Temperature derivative of band gap units,Temperature derivative of band gap conditions,Temperature derivative of band gap method,Color value,Electroluminescence value,Photoluminescence value,Thermoluminescence value,Phase values,Cathodoluminescence value,Mechanical luminescence value,Lasing value
1421,1422,,Bi0.92Sb0.08,0.011,,,.on,300,2,1465,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.011'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,TRUE,,,,,
1422,1423,,Bi0.9Sb0.1,0.012,,,0.012,300,2,1466,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.012'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
1423,1424,,Bi0.9Sb0.1,0.014,,1,0.014,300,2,1467,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.014'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Magnetoreflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Magnetoreflection,,,,,,,,,,,,,
1424,1425,,Bi0.88Sb0.12,0.014,,,0.014,300,2,1468,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.014'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
1425,1426,,Bi0.9Sb0.1,0.015,,,0.015,300,2,1469,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.015'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,TRUE,,,,,
1426,1427,,Bi0.87Sb0.13,0.018,,,0.018,300,2,1470,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.018'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,TRUE,,,,,
1427,1428,,Bi1Sb0.15,0.022,,1,0.022,300,2,1471,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.022'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Magnetoreflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Magnetoreflection,,,,,,,,,,,,,
1428,1429,,Bi2Te3,0.145,,3,0.145,300.0 -1.00e-04,1,1472,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.145'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0001'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,-0.0001,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,
1429,1430,,Bi2Te3,0.15,,3,0.15,0,2,1473,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.15'}], 'units': 'eV', 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,,,,,,,,,,,,,,,
1430,1431,,Bi2Te3,0.13,,3,0.13,300.0 -9.50e-05,2,1474,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.13'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-9.50E-05'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,-9.50E-05,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,
1431,1432,,Bi2Te3,0.14,,3,0.14,300,2,1475,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.14'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
1432,1433,,Bi2Te3,0.16,,3,0.16,.0 -9.00e-05,2,1476,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.16'}], 'units': 'eV', 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.00009'}], 'units': 'eV/K', 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,,,,-0.00009,eV/K,,,,,,,,,,
1433,1434,,Bi2Te3,0.15,,3,0.15,300.0 -9.00e-05,2,1477,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.15'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.00009'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,-0.00009,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,
1434,1435,,Bi2Te3,0.153,,3,0.153,300,2,1478,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.153'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
1435,1436,,Bi2Te3,0.171,,3,0.171,300,2,1479,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.171'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
1436,1437,,Bi2Te3,0.2,,3,0.2,300,2,1480,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.2'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",,,,,,,,,,,,,,
1437,1438,,Bi1I3,1.73,,3,1.73,293.0 -9.20e-04,1,1481,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.73'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.00092'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",Absorption,,-0.00092,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",Absorption,,,TRUE,,,,,
1438,1439,,Bi1I3,2.195,,3,2.195,293,1,1482,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '2.195'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",,,,,,,,,,,,,,
1439,1440,,Bi1I3,2.03,,3,2.03,.0 -3.50e-04,2,1483,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.03'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.00035'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}]",Absorption,,-0.00035,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}]",Absorption,,,,,,,,
1440,1441,,Bi1I3,2.029,,3,2.029,20.4 -9.20e-04,2,1484,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.029'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '20.4'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-9.20E-04'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '20.4'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '20.4'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '20.4'}], 'units': 'K'}]",Absorption,,-9.20E-04,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '20.4'}], 'units': 'K'}]",Absorption,,,TRUE,,,,,
1441,1442,,Bi1I3,1.922,,3,1.922,85.0 -9.20e-04,2,1485,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.922'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '85'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-9.20E-04'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '85'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '85'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '85'}], 'units': 'K'}]",Absorption,,-9.20E-04,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '85'}], 'units': 'K'}]",Absorption,,,TRUE,,,,,
1442,1443,,Bi1I3,1.81,,3,1.81,295,2,1486,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.81'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
1443,1444,,Bi1I3,1.93,,3,1.93,300.0 -3.50e-04,2,1487,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.93'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-3.50E-04'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,-3.50E-04,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,
1444,1445,,Bi1I3,2.52,,3,2.52,0,2,1488,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.52'}], 'units': 'eV', 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,,,,,,,,,,,,,,,
1445,1446,,Bi,0.015,,,0.015,4.2,1,1489,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.015'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}], 'method': {'name': 'Magnetoreflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",Magnetoreflection,,,,,,,,,,,,,
1446,1447,,Bi,0.024,,,0.024,4.2,2,1490,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.024'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}], 'method': {'name': 'Magnetoabsorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",Magnetoabsorption,,,,,,,,,,,,,
1447,1448,,Bi,0.006,,,0.006,77.4,2,1491,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '0.006'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '77.4'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '77.4'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
1448,1449,,Th1O2,5.75,,2,5.75,300,1,1493,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '5.75'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",,,,,,,,,,,,,,
1449,1450,,Th1O2,3.5,,2,3.5,300,1,1494,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.5'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Color', 'scalars': [{'value': 'White'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}, {'name': 'Thermoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,Thin film,,,,,White,,,TRUE,,,,
1450,1451,,Th1O2,2.56,,2,2.56,300,2,1495,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '2.56'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
1451,1452,,Th1O2,3.3,,2,3.3 .,300,2,1496,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.3'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Color', 'scalars': [{'value': 'Red'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,Red,,,,,,,
1452,1453,,Th1O2,5.02,,2,5.02,300,2,1497,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '5.02'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
1453,1454,,Th1O2,3.2,,2,3.2,0,2,1498,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.2'}], 'units': 'eV', 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,,,,,,,,,,,,,,,
1454,1455,,Th1O2,3.3,,2,3.3,300,2,1499,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.3'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
